iso,country,dog_vax_usd,deaths_per_100k,pep_costs_usd,deaths,human_pop_2010,
BHR,Bahrain,"2,109",0.006743,"205,559",0,"809,000",
BGD,Bangladesh,"245,881",0.567574,"5,658,274",933,"164,423,000",
BTN,Bhutan,"1,598",1.844667,"309,993",13,"708,000",
BRN,Brunei Darussalam,0,#VALUE!,0,NA,"408,000",
KHM,Cambodia,"81,588",2.963413,"6,298,005",446,"15,055,000",
CHN,China,"4,235,400",0.443264,"648,271,995","6,002","1,354,148,000",
PRK,Democratic People's Republic of Korea,"229,467",0.109153,"12,436,677",26,"23,990,000",
IND,India,"9,050,000",1.716531,"491,232,969","20,847","1,214,465,000",
IDN,Indonesia,"6,368,640",0.084786,"21,179,184",197,"232,517,000",
IRN,Iran (Islamic Republic of),"200,000",0.048736,"16,439,705",37,"75,077,000",
IRQ,Iraq,"82,020",0.074975,"4,065,390",24,"31,467,000",
ISR,Israel,"65,000",0.000496,"1,850,095",0,"7,284,000",
JPN,Japan,"20,000,000",#VALUE!,0,NA,"126,996,000",
JOR,Jordan,"16,867",0.015926,"577,601",1,"6,471,000",
KAZ,Kazakhstan,"63,337",0.045824,"1,950,392",7,"15,752,000",
KWT,Kuwait,"7,955",0.012423,"1,132,217",0,"3,052,000",
KGZ,Kyrgyzstan,"22,312",0.256108,"412,014",14,"5,549,000",
LAO,Lao People's Democratic Republic,"35,912",0.587327,"898,262",38,"6,436,000",
LBN,Lebanon,"11,080",0.016418,"1,246,868",1,"4,251,000",
MYS,Malaysia,0,#VALUE!,0,NA,"27,915,000",
MDV,Maldives,0,#VALUE!,0,NA,"313,000",
MNG,Mongolia,"25,281",0.065022,"86,507",2,"2,699,000",
MMR,Myanmar,"45,688",9.015170,"27,082,117","4,552","50,494,000",
NPL,Nepal,"40,462",3.498450,"6,956,172","1,044","29,852,000",
OMN,Oman,204,0.027935,"881,885",1,"2,905,000",
PAK,Pakistan,"276,283",0.242232,"3,740,816",448,"184,753,000",
PHL,Philippines,"4,744,000",0.179212,"9,976,336",168,"93,616,000",
QAT,Qatar,"3,933",0.004837,"286,085",0,"1,509,000",
KOR,Republic of Korea,0,#VALUE!,0,NA,"48,502,000",
RUS,Russian Federation,"3,500,000",0.023348,"19,041,521",33,"140,367,000",
SAU,Saudi Arabia,"68,409",0.010878,"7,113,255",3,"26,245,000",
SGP,Singapore,0,#VALUE!,0,NA,"4,839,000",
LKA,Sri Lanka,"1,308,464",0.169987,"7,082,508",35,"20,411,000",
SYR,Syrian Arab Republic,"58,660",0.067723,"3,173,300",15,"22,505,000",
TJK,Tajikistan,"64,987",0.227420,"319,846",16,"7,075,000",
THA,Thailand,"5,195,112",0.091100,"24,748,647",62,"68,139,000",
TLS,Timor-Leste,"15,264",0.000000,0,0,"1,170,000",
TUR,Turkey,"2,173,263",0.032339,"24,199,253",24,"75,705,000",
TKM,Turkmenistan,"20,816",0.100221,"909,883",5,"5,177,000",
ARE,United Arab Emirates,"12,274",0.003962,"1,890,352",0,"4,709,000",
UZB,Uzbekistan,"700,000",0.071695,"1,119,457",20,"27,793,000",
VNM,Viet Nam,"1,680,000",0.404757,"28,433,218",360,"89,029,000",
YEM,Yemen,"63,230",0.608476,"3,721,642",148,"24,258,000",
ALB,Albania,"90,972",0.006800,"466,251",0,"3,169,000",
AND,Andorra,"3,962",#VALUE!,0,NA,"83,365",
ARM,Armenia,"88,733",0.009226,"452,416",0,"3,091,000",
AUT,Austria,"398,547",#VALUE!,0,NA,"8,386,000",
AZE,Azerbaijan,"35,915",0.055183,"1,069,346",5,"8,932,000",
BLR,Belarus,"275,357",0.005426,"1,407,794",1,"9,592,000",
BEL,Belgium,"508,520",#VALUE!,0,NA,"10,700,000",
BIH,Bosnia and Herzegovina,"107,910",0.007363,"491,329",0,"3,759,000",
BGR,Bulgaria,"215,245",0.004446,"1,064,738",0,"7,498,000",
HRV,Croatia,"126,598",0.001504,"473,469",0,"4,410,000",
CYP,Cyprus,"25,262",0.000000,0,0,"880,000",
CZE,Czech Republic,"298,840",0.001275,"2,710,980",0,"10,410,000",
DNK,Denmark,"260,391",#VALUE!,0,NA,"5,479,000",
EST,Estonia,"38,410",0.001899,"380,996",0,"1,338,000",
FIN,Finland,"254,070",#VALUE!,0,NA,"5,346,000",
FRA,France,"2,976,696",#VALUE!,0,NA,"62,634,000",
GEO,Georgia,"16,960",0.123195,"1,115,129",5,"4,218,000",
DEU,Germany,"3,899,732",#VALUE!,0,NA,"82,056,000",
GRC,Greece,"321,030",0.000000,0,0,"11,183,000",
HUN,Hungary,"286,266",0.002445,"3,027,410",0,"9,972,000",
ISL,Iceland,"15,683",#VALUE!,0,NA,"330,000",
IRL,Ireland,"218,093",#VALUE!,0,NA,"4,589,000",
ITA,Italy,"2,856,172",#VALUE!,0,NA,"60,098,000",
LVA,Latvia,"64,361",0.002830,"552,870",0,"2,242,000",
LTU,Lithuania,"93,413",0.002648,"753,647",0,"3,254,000",
